"HW1","HW2","HW3","HW4","HW5"
93,99,81,81,98
76,94,97,85,98
91,88,86,80,98
66,87,76,85,82
76,76,78,85,76
64,74,87,77,88
62,81,78,78,82
71,85,82,75,68
75,72,70,75,85
77,87,72,75,54
63,77,72,76,65
66,81,71,75,53
60,60,77,66,76
78,76,70,68,45
37,66,72,69,88
72,77,68,65,48
53,83,64,64,64
51,83,74,66,54
75,56,74,69,54
37,59,75,76,75
53,74,63,75,56
59,50,74,59,77
14,70,74,76,81
59,64,59,75,57
65,59,68,57,64
65,64,56,71,53
53,68,66,74,43
22,53,60,69,98
56,63,78,60,42
39,54,59,69,77
36,83,60,63,54
56,59,64,71,45
48,33,65,74,74
37,51,58,65,82
43,71,62,54,62
68,48,68,65,42
56,68,69,59,39
54,51,66,68,48
51,72,65,59,40
48,76,64,65,30
28,66,71,64,53
58,58,59,62,45
50,76,59,56,41
56,63,64,50,48
56,74,56,46,50
48,69,62,63,37
59,59,54,58,47
27,70,64,68,50
42,72,57,65,40
58,68,59,51,39
37,69,60,65,41
21,64,69,52,62
59,69,57,47,31
71,60,57,18,56
45,68,59,34,54
48,52,58,25,74
42,42,50,62,60
46,53,65,57,29
52,52,46,41,59
47,56,56,39,52
75,53,43,27,51
58,46,50,53,40
41,51,60,57,35
22,62,48,68,36
42,43,56,58,35
71,64,45,27,23
50,50,52,36,40
37,63,45,33,48
21,62,63,42,37
41,36,60,57,43
56,48,57,35,21
12,56,43,57,47
56,45,54,18,36
36,41,52,56,22
16,62,60,30,37
59,60,46,28,11
22,39,37,54,48
10,51,58,31,48
28,46,43,58,18
36,29,52,40,30
4,11,62,57,48
8,62,52,21,27
18,48,52,28,22
18,46,47,34,21
6,36,53,43,22
14,36,39,42,25
6,31,18,24,24
0,48,25,11,17
